ID,Source,Target,Path
1,C0003864,C0029408,C0003864 -> C0022408 -> C0263661 -> C0029408 -> C0003864
2,C0003864,C0022408,C0003864 -> C0022408 -> C0003864
3,C0003864,C0263661,C0003864 -> C0022408 -> C0263661 -> C0022408 -> C0003864
4,C0033474,C0072186,C0033474 -> C0072186 -> C0033474
5,C0035305,C0154822,C0035305 -> C0154822 -> C0035305
6,C0035305,C1533659,C0035305 -> C0154822 -> C1533659 -> C0035305
7,C0678661,C1327622,C0678661 -> C1327622 -> C0678661
8,C0497500,C0156311,C0497500 -> C0156311 -> C0017412 -> C0497500
9,C0497500,C0017412,C0497500 -> C0156311 -> C0017412 -> C0497500
10,C0154724,C0221760,C0154724 -> C0221760 -> C0154724
11,C0036077,C0036075,C0036077 -> C0036079 -> C0036075 -> C0036077
12,C0036077,C0036079,C0036077 -> C0036079 -> C0036075 -> C0036077
13,C0037299,C0333297,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0494891 -> C0037299
14,C0037299,C0038358,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0494891 -> C0037299
15,C0037299,C0030920,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0030920 -> C0041582 -> C0494891 -> C0037299
16,C0037299,C0494891,C0037299 -> C0494891 -> C0037299
17,C0037299,C0157738,C0037299 -> C0157738 -> C0037299
18,C0037299,C0041582,C0037299 -> C0041582 -> C0494891 -> C0037299
19,C0033684,C0030956,C0033684 -> C0030956 -> C0033684
20,C0030956,C0033684,C0030956 -> C0033684 -> C0030956
21,C0041974,C4551691,C0041974 -> C4551691 -> C0041974
22,C0000768,C0497164,C0000768 -> C0679337 -> C0243066 -> C0497164 -> C0158795 -> C0000768
23,C0000768,C0158795,C0000768 -> C0679337 -> C0243066 -> C0497164 -> C0158795 -> C0000768
24,C0000768,C0302142,C0000768 -> C0302142 -> C0000768
25,C0000768,C0679337,C0000768 -> C0679337 -> C0243066 -> C0497164 -> C0158795 -> C0000768
26,C0000768,C0243066,C0000768 -> C0679337 -> C0243066 -> C0497164 -> C0158795 -> C0000768
27,C0032914,C4551893,C0032914 -> C4551893 -> C0032914
28,C0392549,C0007789,C0392549 -> C0007789 -> C0392549
29,C0596902,C0022009,C0596902 -> C0022009 -> C0596902
30,C0007114,C0699893,C0007114 -> C0037286 -> C0699893 -> C0007114
31,C0007114,C0037286,C0007114 -> C0037286 -> C0699893 -> C0007114
32,C0022408,C0003864,C0022408 -> C0003864 -> C0022408
33,C0022408,C0029408,C0022408 -> C0263661 -> C0029408 -> C0022408
34,C0022408,C0263661,C0022408 -> C0263661 -> C0022408
35,C0000772,C0495643,C0000772 -> C0495643 -> C0000772
36,C0028754,C0497406,C0028754 -> C0497406 -> C0028754
37,C0153132,C1306112,C0153132 -> C1306112 -> C0153132
38,C0041296,C0041321,C0041296 -> C0041321 -> C0041296
39,C0085435,C0409580,C0085435 -> C0409580 -> C0085435
40,C0156329,C0341814,C0156329 -> C0341814 -> C0156329
41,C0156329,C0149959,C0156329 -> C0149959 -> C0156329
42,C0007603,C1622525,C0007603 -> C1622525 -> C0007603
43,C0409908,C0018099,C0409908 -> C0018099 -> C0409909 -> C0409908
44,C0409908,C0409909,C0409908 -> C0018099 -> C0409909 -> C0409908
45,C0009187,C0311386,C0009187 -> C0311386 -> C0009187
46,C0311386,C0009187,C0311386 -> C0009187 -> C0311386
47,C0019693,C0348209,C0019693 -> C0348209 -> C0019693
48,C0019693,C0001175,C0019693 -> C0001175 -> C0019693
49,C0027765,C0027868,C0027765 -> C0027868 -> C0027765
50,C0027765,C0442874,C0027765 -> C0027868 -> C4721453 -> C0442874 -> C0027765
51,C0027765,C0869054,C0027765 -> C0869054 -> C0027765
52,C0027765,C0026848,C0027765 -> C0027868 -> C0026848 -> C0027765
53,C0027765,C2015799,C0027765 -> C2015799 -> C0027765
54,C0027765,C0549469,C0027765 -> C0027868 -> C4721453 -> C0549469 -> C0027765
55,C0027765,C4721453,C0027765 -> C0027868 -> C4721453 -> C0027765
56,C0027765,C0158352,C0027765 -> C0027868 -> C0026848 -> C0158352 -> C0026848 -> C0027765
57,C0010583,C0110666,C0010583 -> C0107744 -> C0110666 -> C0010583
58,C0010583,C0033223,C0010583 -> C0107744 -> C0110666 -> C0033223 -> C0107744 -> C0110666 -> C0010583
59,C0010583,C0032952,C0010583 -> C0107744 -> C0110666 -> C0032952 -> C0107744 -> C0110666 -> C0010583
60,C0010583,C0107744,C0010583 -> C0107744 -> C0110666 -> C0010583
61,C0007271,C0682998,C0007271 -> C0682998 -> C0007271
